time,.x,.y,.z
2020/02/28/12:49:43.818436,0.0,0.0,0.0
2020/02/28/12:49:43.851829,0.0,0.0,0.0
2020/02/28/12:49:43.885161,0.0,0.0,0.0
2020/02/28/12:49:43.918496,0.0,0.0,0.0
2020/02/28/12:49:43.951887,-0.0,0.0,0.0
2020/02/28/12:49:43.985169,-0.0,0.0,0.0
2020/02/28/12:49:44.018522,-0.0,0.0,0.0
2020/02/28/12:49:44.051830,-0.0,0.0,0.0
2020/02/28/12:49:44.085157,-0.0,0.0,0.0
2020/02/28/12:49:44.118440,-0.0,0.0,0.0
2020/02/28/12:49:44.151850,-0.0,0.0,0.0
2020/02/28/12:49:44.185143,-0.0,0.0,0.0
2020/02/28/12:49:44.218488,-0.0,0.0,0.0
2020/02/28/12:49:44.251878,-0.0,0.0,0.0
2020/02/28/12:49:44.285210,-0.0,0.0,0.0
2020/02/28/12:49:44.318550,-0.0,0.0,0.0
2020/02/28/12:49:44.351886,-0.0,0.0,0.0
2020/02/28/12:49:44.385209,-0.0,0.0,0.0
2020/02/28/12:49:44.418543,-0.0,0.0,0.0
2020/02/28/12:49:44.451875,-0.0,0.0,0.0
2020/02/28/12:49:44.485221,-0.0,0.0,0.0
2020/02/28/12:49:44.518549,-0.0,0.0,0.0
2020/02/28/12:49:44.551847,-0.0,0.0,0.0
2020/02/28/12:49:44.585159,-0.0,0.0,0.0
2020/02/28/12:49:44.618525,-0.0,0.0,0.0
2020/02/28/12:49:44.651853,-0.0,0.0,0.0
2020/02/28/12:49:44.685182,-0.0,0.0,0.0
2020/02/28/12:49:44.718502,-0.0,0.0,0.0
2020/02/28/12:49:44.751856,-0.0574423782527,0.098285831511,0.182798936963
2020/02/28/12:49:44.785187,-0.0574423782527,0.098285831511,0.182798936963
2020/02/28/12:49:44.818511,-0.0574423782527,0.098285831511,0.182798936963
2020/02/28/12:49:44.851825,0.0156973823905,0.0619022287428,0.032695710659
2020/02/28/12:49:44.885161,0.0156973823905,0.0619022287428,0.032695710659
2020/02/28/12:49:44.918503,0.0156973823905,0.0619022287428,0.032695710659
2020/02/28/12:49:44.951848,0.0156573988497,0.0619757212698,0.0328295379877
2020/02/28/12:49:44.985161,0.0156573988497,0.0619757212698,0.0328295379877
2020/02/28/12:49:45.018504,0.0156573988497,0.0619757212698,0.0328295379877
2020/02/28/12:49:45.051878,0.0156821273267,0.0619221813977,0.0327358543873
2020/02/28/12:49:45.085162,0.0156821273267,0.0619221813977,0.0327358543873
2020/02/28/12:49:45.118512,0.0156821273267,0.0619221813977,0.0327358543873
2020/02/28/12:49:45.151830,0.0156141147017,0.0620587430894,0.0329678058624
2020/02/28/12:49:45.185162,0.0156141147017,0.0620587430894,0.0329678058624
2020/02/28/12:49:45.219227,0.0156141147017,0.0620587430894,0.0329678058624
2020/02/28/12:49:45.251831,0.0157488696277,0.0619213953614,0.0326134413481
2020/02/28/12:49:45.285192,0.0157488696277,0.0619213953614,0.0326134413481
2020/02/28/12:49:45.318551,0.0157488696277,0.0619213953614,0.0326134413481
